"lotfrontage","overallqual","overallcond","yearbuilt","yearremodadd","masvnrarea","bsmtfinsf1","bsmtunfsf","totalbsmtsf","x2ndflrsf","grlivarea","bedroomabvgr","kitchenabvgr","totrmsabvgrd","garageyrblt","garagecars","garagearea","openporchsf","miscval","yrsold"
65,7,5,2003,2003,196,706,150,856,854,1710,3,1,8,2003,2,548,61,0,2008
80,6,8,1976,1976,0,978,284,1262,0,1262,3,1,6,1976,2,460,0,0,2007
68,7,5,2001,2002,162,486,434,920,866,1786,3,1,6,2001,2,608,42,0,2008
60,7,5,1915,1970,0,216,540,756,756,1717,3,1,7,1998,3,642,35,0,2006
84,8,5,2000,2000,350,655,490,1145,1053,2198,4,1,9,2000,3,836,84,0,2008
85,5,5,1993,1995,0,732,64,796,566,1362,1,1,5,1993,2,480,30,700,2009
75,8,5,2004,2005,186,1369,317,1686,0,1694,3,1,7,2004,2,636,57,0,2007
69.6447039199333,7,6,1973,1973,240,859,216,1107,983,2090,3,1,7,1973,2,484,204,350,2009
51,7,5,1931,1950,0,0,952,952,752,1774,2,2,8,1931,2,468,0,0,2008
50,5,6,1939,1950,0,851,140,991,0,1077,2,2,5,1939,1,205,4,0,2008
70,5,5,1965,1965,0,906,134,1040,0,1040,3,1,5,1965,1,384,0,0,2008
85,9,5,2005,2006,286,998,177,1175,1142,2324,4,1,11,2005,3,736,21,0,2006
69.6447039199333,5,6,1962,1962,0,737,175,912,0,912,2,1,4,1962,1,352,0,0,2008
91,7,5,2006,2007,306,0,1494,1494,0,1494,3,1,7,2006,3,840,33,0,2007
69.6447039199333,6,5,1960,1960,212,733,520,1253,0,1253,2,1,5,1960,1,352,213,0,2008
51,7,8,1929,2001,0,0,832,832,0,854,2,1,5,1991,2,576,112,0,2007
69.6447039199333,6,7,1970,1970,180,578,426,1004,0,1004,2,1,5,1970,2,480,0,700,2010
72,4,5,1967,1967,0,0,0,0,0,1296,2,2,6,1967,2,516,0,500,2006
66,5,5,2004,2004,0,646,468,1114,0,1114,3,1,6,2004,2,576,102,0,2008
70,5,6,1958,1965,0,504,525,1029,0,1339,3,1,6,1958,1,294,0,0,2009
101,8,5,2005,2006,380,0,1158,1158,1218,2376,4,1,9,2005,3,853,154,0,2006
57,7,7,1930,1950,0,0,637,637,0,1108,3,1,6,1930,1,280,0,0,2007
75,8,5,2002,2002,281,0,1777,1777,0,1795,3,1,7,2002,2,534,159,0,2008
44,5,7,1976,1976,0,840,200,1040,0,1060,3,1,6,1976,2,572,110,0,2007
69.6447039199333,5,8,1968,2001,0,188,204,1060,0,1060,3,1,6,1968,1,270,90,0,2010
110,8,5,2007,2007,640,0,1566,1566,0,1600,3,1,7,2007,3,890,56,0,2009
60,5,7,1951,2000,0,234,180,900,0,900,3,1,5,2005,2,576,32,0,2010
98,8,5,2007,2008,200,1218,486,1704,0,1704,3,1,7,2008,3,772,50,0,2010
47,5,6,1957,1997,0,1277,207,1484,0,1600,2,1,6,1957,1,319,258,0,2006
60,4,6,1927,1950,0,0,520,520,0,520,1,1,4,1920,1,240,0,0,2008
50,4,4,1920,1950,0,0,649,649,668,1317,3,1,6,1920,1,250,54,0,2008
69.6447039199333,5,6,1966,2006,0,0,1228,1228,0,1228,3,1,6,1966,1,271,65,0,2008
85,8,5,2007,2007,0,0,1234,1234,0,1234,3,1,7,2007,2,484,30,0,2008
70,5,5,1959,1959,0,1018,380,1398,0,1700,4,1,6,1959,2,447,38,0,2010
60,9,5,2005,2005,246,1153,408,1561,0,1561,2,1,6,2005,2,556,47,0,2007
108,8,5,2004,2005,132,0,1117,1117,1320,2452,4,1,9,2004,3,691,32,0,2006
112,5,5,1994,1995,0,0,1097,1097,0,1097,3,1,6,1995,2,672,64,0,2009
74,5,6,1954,1990,650,1213,84,1297,0,1297,3,1,5,1954,2,498,0,0,2009
68,5,7,1953,2007,0,731,326,1057,0,1057,3,1,5,1953,1,246,52,0,2010
65,4,5,1955,1955,0,0,0,0,0,1152,2,2,6,1978.50616388687,0,0,0,0,2008
84,6,5,1965,1965,101,643,445,1088,0,1324,3,1,6,1965,2,440,138,0,2006
115,5,6,1959,1959,0,967,383,1350,0,1328,2,1,5,1959,1,308,104,0,2007
69.6447039199333,5,7,1983,1983,0,747,0,840,0,884,2,1,5,1983,2,504,0,0,2007
69.6447039199333,5,6,1975,1980,0,280,167,938,0,938,3,1,5,1977,1,308,0,0,2008
70,5,6,1959,1959,0,179,465,1150,0,1150,3,1,6,1959,1,300,0,0,2006
61,9,5,2005,2005,412,456,1296,1752,0,1752,2,1,6,2005,2,576,82,0,2010
48,7,5,2003,2003,0,1351,83,1434,631,2149,1,1,6,2003,2,670,43,0,2009
84,8,5,2006,2006,0,24,1632,1656,0,1656,3,1,7,2006,3,826,146,0,2007
33,4,5,1920,2008,0,0,736,736,716,1452,2,1.04461221688401,8,1978.50616388687,0,0,0,0,2009
66,5,7,1966,1966,0,763,192,955,0,955,3,1,6,1966,1,386,0,0,2007
69.6447039199333,6,6,1997,1997,0,182,612,794,676,1470,3,1,6,1997,2,388,75,0,2007
52,6,6,1934,1950,0,0,816,816,0,1176,3,1,6,1985,2,528,0,400,2006
110,5,5,1963,1963,0,104,0,816,0,816,2,1,5,1963,2,516,0,0,2010
68,9,5,1981,1987,0,1810,32,1842,0,1842,0,1,5,1981,3,894,72,0,2006
60,5,5,1955,1955,0,384,0,384,0,1360,3,1,6,1962,2,572,50,0,2007
100,6,5,1964,1964,272,490,935,1425,0,1425,3,1,7,1964,2,576,0,0,2008
24,8,5,1999,2000,456,649,321,970,756,1739,3,1,7,1999,2,480,0,0,2009
89,7,5,2004,2004,0,0,860,860,860,1720,3,1,7,2004,2,565,70,0,2006
66,10,5,2006,2006,98.3259515570934,0,1410,1410,1519,2945,3,1,10,2006,3,641,0,0,2006
60,5,7,1972,1972,0,632,148,780,0,780,2,1,4,1973,1,352,0,0,2008
63,6,5,2004,2004,0,941,217,1158,0,1158,3,1,5,2006,2,576,50,0,2006
60,5,7,1920,1996,0,0,530,530,530,1111,3,1,6,1935,1,288,0,0,2007
44,8,5,2006,2006,178,24,1346,1370,0,1370,2,1,6,2006,2,484,49,0,2007
50,7,6,1921,1950,0,0,576,576,808,1710,3,1,9,1990,2,480,11,0,2010
69.6447039199333,7,5,1997,1998,573,739,318,1057,977,2034,3,1,8,1998,2,645,36,0,2009
76,8,5,2004,2005,344,0,1143,1143,1330,2473,4,1,9,2004,3,852,151,0,2007
69.6447039199333,7,5,1970,1989,287,912,1035,1947,0,2207,3,1,7,1970,2,576,0,0,2010
72,7,5,2003,2003,167,1013,440,1453,0,1479,3,1,7,2003,2,558,29,0,2007
47,4,6,1945,1950,0,0,747,747,0,747,2,1,4,1945,1,220,0,0,2010
81,7,4,1953,1953,0,603,701,1304,983,2287,3,1,7,1953,2,667,21,0,2006
95,7,6,1973,1973,98.3259515570934,1880,343,2223,0,2223,3,1,8,1973,2,516,0,0,2007
69,4,6,1982,2006,0,565,280,845,0,845,2,1,4,1987,2,360,0,0,2007
74,7,5,1998,1998,40,0,832,832,833,1718,3,1,7,1998,2,427,94,0,2009
85,5,7,1954,2003,104,320,404,1086,0,1086,3,1,6,1989,2,490,0,0,2010
60,3,6,1915,1950,0,0,840,840,765,1605,3,2,8,1915,1,379,0,0,2010
21,4,5,1973,1973,0,462,0,462,462,988,2,1,5,1973,1,297,101,0,2009
69.6447039199333,4,7,1956,1956,0,228,724,952,0,952,2,1,4,1956,1,283,0,0,2008
50,5,5,1948,2001,0,336,295,672,213,1285,2,1,6,1948,1,240,0,0,2008
72,4,5,1968,1968,0,0,1768,1768,0,1768,4,2,8,1978.50616388687,0,0,0,0,2010
60,5,6,1910,1981,0,0,440,440,548,1230,2,1,5,1966,2,440,0,0,2009
100,6,6,1968,1968,576,448,448,896,960,2142,4,1,8,1968,1,509,72,0,2009
32,6,5,1998,1998,443,1201,36,1237,0,1337,2,1,5,1998,2,405,199,0,2006
78,8,5,2007,2007,468,33,1530,1563,0,1563,3,1,6,2007,3,758,99,0,2008
