"id","mszoning","lotfrontage","lotarea","lotshape","landcontour","lotconfig","landslope","neighborhood","condition1","bldgtype","housestyle","overallqual","overallcond","yearbuilt","yearremodadd","roofstyle","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtunfsf","totalbsmtsf","heating","heatingqc","electrical","x1stflrsf","x2ndflrsf","grlivarea","bsmtfullbath","fullbath","halfbath","bedroomabvgr","kitchenqual","totrmsabvgrd","functional","fireplaces","fireplacequ","garagetype","garageyrblt","garagefinish","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","fence","miscfeature","saletype","salecondition","saleprice","sale_date","total_baths"
1,"RL",65,8450,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",706,"Unf",150,856,"GasA","Ex","SBrkr",856,854,1710,1,2,1,3,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,548,0,61,0,NA,NA,"WD","Normal",208500,2008-02-01,2.5
2,"RL",80,9600,"Reg","Lvl","FR2","Gtl","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",978,"Unf",284,1262,"GasA","Ex","SBrkr",1262,0,1262,0,2,0,3,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,298,0,0,NA,NA,"WD","Normal",181500,2007-05-01,2
3,"RL",68,11250,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",486,"Unf",434,920,"GasA","Ex","SBrkr",920,866,1786,1,2,1,3,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,0,42,0,NA,NA,"WD","Normal",223500,2008-09-01,2.5
4,"RL",60,9550,"IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",216,"Unf",540,756,"GasA","Gd","SBrkr",961,756,1717,1,1,0,3,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,0,35,272,NA,NA,"WD","Abnorml",140000,2006-02-01,1
5,"RL",84,14260,"IR1","Lvl","FR2","Gtl","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","GLQ",655,"Unf",490,1145,"GasA","Ex","SBrkr",1145,1053,2198,1,2,1,4,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,192,84,0,NA,NA,"WD","Normal",250000,2008-12-01,2.5
6,"RL",85,14115,"IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",732,"Unf",64,796,"GasA","Ex","SBrkr",796,566,1362,1,1,1,1,"TA",5,"Typ",0,NA,"Attchd",1993,"Unf",2,480,40,30,0,"MnPrv","Shed","WD","Normal",143000,2009-10-01,1.5
7,"RL",75,10084,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","GLQ",1369,"Unf",317,1686,"GasA","Ex","SBrkr",1694,0,1694,1,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,255,57,0,NA,NA,"WD","Normal",307000,2007-08-01,2
8,"RL",21,10382,"IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",859,"BLQ",216,1107,"GasA","Ex","SBrkr",1107,983,2090,1,2,1,3,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,235,204,228,NA,"Shed","WD","Normal",200000,2009-11-01,2.5
9,"RM",51,6120,"Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",952,952,"GasA","Gd","FuseF",1022,752,1774,0,2,0,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,90,0,205,NA,NA,"WD","Abnorml",129900,2008-04-01,2
10,"RL",50,7420,"Reg","Lvl","Corner","Gtl","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",851,"Unf",140,991,"GasA","Ex","SBrkr",1077,0,1077,1,1,0,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,0,4,0,NA,NA,"WD","Normal",118000,2008-01-01,1
